0226302679 (cloth : alk. paper) 		Latin American macroeconomic reforms : the second stage / edited by José Antonio González ... [et al.]. 		Chicago : University of Chicago Press, 2003. 	Central Library, Floors 4 or 5: Books		HG660.5 .L38 2003	HG  6605           L 38   2003			2
0672318350 	LaMothe, André. 	Tricks of the 3D game programming gurus : advanced 3D graphics and rasterization / André LaMothe. 		Indianapolis, Ind. : Sams, c2003. 	Science & Engineering Library: Books		QA76.76.C672 L36 2003	QA   7676          C 672   L 36   2003			1
0679768483 	Barnet, Miguel, 1940- 	Canción de Rachel / Miguel Barnet. 	1. ed. en Alfaguara México. 	México, D.F. : Alfaguara, c1996. 	Central Library, Floors 4 or 5: Books		PQ7390.B3 C3 1996	PQ 7390            B 3   C 3   1996			1
071905849X (pbk.) 		Fifteen into one? : the European Union and its member states / edited by Wolfgang Wessels, Andreas Maurer, and Jürgen Mittag. 		Manchester, UK ; New York : Manchester University Press ; New York : Distributed exclusively in the USA by Palgrave, 2003. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	HC241 .F48 2003	HC  241            F 48   2003			4
080204767X (cloth : acid-free) 		Social sustainability of cities : diversity and the management of change / edited by Mario Polèse and Richard Stren. 		Toronto : University of Toronto Press, c2000. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 1, 2003	HT153 .S62 2000	HT  153            S 62   2000			4
0803214758 (cl : alk. paper) 	Chevillard, Eric. 	Crab nebula = La nébuleuse du crabe / Eric Chevillard ; translated by Jordan Stump and Eleanor Hardin. 		Lincoln : University of Nebraska Press, c1997. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2663.H432 N4313 1997	PQ 2663            H 432   N 4313   1997			3
0804804974 	Nguyen, ình Hòa, 1924- 	Read Vietnamese : a graded course in written Vietnamese / Nguyen-Dinh-Hoa. 		Rutland, Vt. : C.E. Tuttle Co., c1966, 1972 printing. 	Central Library, Floors 4 or 5: Books		PL4373 .N4 1972	PL 4373            N 4   1972			2
0821355279 		Non-bank financial institutions and capital markets in Turkey / [prepared by Lalit Raina and Marie Renée Bakker]. 		Washington, D.C. : World Bank, c2003. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	HG3256.5.A6 N66 2003	HG 32565           A 6   N 66   2003			4
0821808591 (acid-free paper) 	Krause, G. R. 	Growth of algebras and Gelfand-Kirillov dimension / Günter R. Krause, Thomas H. Lenagan. 	Rev. ed. 	Providence, R.I. : American Mathematical Society, c2000. 	Science & Engineering Library: Books		QA251.5 .K73 2000	QA  2515           K 73   2000			4
0838754554 (alk. paper) 	Mehta, Binita, 1962- 	Widows, pariahs, and bayadères : India as spectacle / Binita Mehta. 		Lewisburg, [Pa.] : Bucknell University Press ; London : Associated University Presses, 2002. 	Central Library, Floors 4 or 5: Books		PQ509 .M45 2002	PQ  509            M 45   2002			3
0875652751 (hardcover : alk. paper) 	Cuéllar, Carlos Eliseo, 1950- 	Stories from the barrio : a history of Mexican Fort Worth / Carlos E. Cuéllar. 		Fort Worth, Tex. : TCU Press, 2003. 	Central Library, Floor 2: MultiCultural Collection		F394.F7 C84 2003	F  394            F 7   C 84   2003			1
0875652751 (hardcover : alk. paper) 	Cuéllar, Carlos Eliseo, 1950- 	Stories from the barrio : a history of Mexican Fort Worth / Carlos E. Cuéllar. 		Fort Worth, Tex. : TCU Press, 2003. 	Special Collections, Floor 6: (Non-circulating)		F394.F7 C84 2003	F  394            F 7   C 84   2003			2
0960069216 		Dîners de gala. [Salvador Domenech Philippe Hyacinthe Dali conceived and materialized this work] Translated by J. Peter Moore. 		New York, Felicie [c1973] 	Central Library, Floors 4 or 5: Books		TX725.A1 D2313	TX  725            A 1   D 2313			2
0970492375 (pbk) 	Bilbija, Ksenija. 	Cuerpos textuales : metáforas del génesis narrativo en la literatura latinoamericana del siglo XX / Ksenija Bilbija. 	1. ed. en español 	Berkeley, CA : CELACP ; Lima, Peru : CELACP - LatinoAmericana Editores, 2001. 	Central Library, Floors 4 or 5: Books		PQ7081 .B5518 2001	PQ 7081            B 5518   2001			3
0972001735 		Magnetotherapy : potential therapeutic benefits and adverse effects / edited by Michael J. McLean, Stefan Engström, Robert R. Holcomb. 		New York, NY : TFG Press ; Nashville, TN : Vanderbilt Neuromagnetics Group, 2003. 	Central Library, Floors 4 or 5: Books		RM893 .M34 2003	RM  893            M 34   2003			2
155619711X (alk. paper) 	International Conference on Translation and Interpreting (9th : 1995 : Prague, Czech Republic) 	Translators' strategies and creativity : selected papers from the 9th International Conference on Translation and Interpreting, Prague, September, 1995 : in honor of Jirí Levý and Anton Popovic / edited by Ann Beylard-Ozeroff, Jana Králová, Barbara 		Amsterdam ; Philadelphia : J. Benjamins Pub., c1998. 	Central Library, Floors 4 or 5: Books		P306 .I454 1998	P  306            I 454   1998			3
1840022604 	Molière, 1622-1673. 	Tartuffe / Molière ; a new translation by Ranjit Bolt ; introduction by Nicholas Dromgoole. 		London : Oberon, 2002. 	Central Library, Floors 4 or 5: Books	Bindery; due back September 29, 2003	PQ1842 .A427 2002	PQ 1842            A 427   2002			1
1840646284 		Young, the old, and the state : social care systems in five industrial nations / edited by Anneli Anttonen, John Baldock, Jorma Sipilä. 		Cheltenham, UK ; Northhampton, MA : E. Elgar Pub., c2003. 	Central Library, Floors 4 or 5: Books		HQ778.5 .Y69 2003	HQ  7785           Y 69   2003			3
1840649127 	Bjerke, Björn, 1941- 	Entrepreneurial marketing : the growth of small firms in the new economic era / Björn Bjerke, Claes Hultman. 		Cheltenham, UK ; Northampton, MA Edward Elgar, 2002. 	Central Library, Floors 4 or 5: Books		HF5415.13 .B48 2002	HF 541513          B 48   2002			4
1892295806 	Schmidt, Arno, 1914- 	Radio dialogs II / Arno Schmidt ; translated from the German and with an introduction by John E. Woods. 	1st English language ed. 	København ; Los Angeles : Green Integer, 2003. 	Central Library, Floors 4 or 5: Books	Bindery; due back September 29, 2003	PT2638.M453 D42413 2003	PT 2638            M 453   D 42413   2003			2
2020213346 (pbk.) 	Jouet, Jacques. 	Directeur du Musée des Cadeaux des Chefs d'Etat de l'Etranger : roman / Jacques Jouet. 		Paris : Seuil, 1994. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2670.O926 D57 1994	PQ 2670            O 926   D 57   1994			3
2020339870 	Salvayre, Lydie. 	Belles âmes : roman / Lydie Salvayre. 		Paris : Seuil, c2000. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2679.A52435 B45 2000	PQ 2679            A 52435   B 45   2000			4
2020365685 	Salvayre, Lydie. 	Conférence de Cintegabelle / Lydie Salvayre. 		[Paris] : Seuil : Verticales, c1999. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2679.A52435 C67 1999	PQ 2679            A 52435   C 67   1999			3
2707314188 : 	Chevillard, Eric. 	Caoutchouc décidément / Eric Chevillard. 		Paris : Editions de Minuit, c1992. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2663.H432 C3 1993	PQ 2663            H 432   C 3   1993			4
2707314870 	Chevillard, Eric. 	Préhistoire : [roman] / Eric Chevillard. 	Ed. originale. 	Paris : Editions de Minuit, c1994. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2663.H432 P74 1994	PQ 2663            H 432   P 74   1994			3
2744403903 	Salvayre, Lydie. 	Compagnie des spectres : roman / Lydie Salvayre. 		Paris : Libris Éditions, c1998. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2679.A52435 C651 1998	PQ 2679            A 52435   C 651   1998			3
2856291341 	Babillot, Martine. 	Rigidité, groupe fondamental et dynamique / Martine Babillot, Renato Feres, Abdelghani Zeghib, avec la collaboration d'Emmanuel Breuillard ; édité par Patrick Foulon. 		Marseille : Societe Mathematique de France, 2002. 	Science & Engineering Library: Books		 In Process	 In Process			3
2867448042 	Jouet, Jacques. 	Poèmes de métro / Jacques Jouet. 		Paris : P.O.L., c2000. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2670.O926 P64 2000	PQ 2670            O 926   P 64   2000			4
2867448131 	Jouet, Jacques. 	Réunion pour le nettoiement : roman / Jacques Jouet. 		Paris : P.O.L., c2001. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ2670.O926 R48 2001	PQ 2670            O 926   R 48   2001			4
3472612231 	Morgner, Irmtraud. 	Leben und Abenteuer der Trobadora Beatriz nach Zeugnissen ihrer Spielfrau Laura : Roman in dreizehn Büchern und sieben Intermezzos / Irmtraud Morgner. 	10. Aufl. 	Berlin ; Weimar : Luchterhand, 1984. 	Central Library, Floors 4 or 5: Books		PT2673.O64 L43 1984	PT 2673            O 64   L 43   1984			1
3473373621 		Für meine Ferien : Bastelspass zum Zeitvertreib. 		Ravensburg : Otto Maier Verlag, c 1984. 	Central Library, Floors 4 or 5: Books		TT174 .F87 1984	TT  174            F 87   1984			1
3527304991 		Metal complexes and metals in macromolecules : synthesis, structure and properties / [edited by] Dieter Wöhrle, Anatolii D. Pomogailo with contributions from Y. Amao ...[et al.] 		Weinheim : [Cambridge] : Wiley-VCH, c2003. 	Science & Engineering Library: Books		 In Process	 In Process			1
3540401555 (softcover : alk. paper : pt. I) 	ICCSA 2003 (2003 ; Montréal, Québec) 	Computational science and its applications : ICCSA 2003, international conference, Montreal, Canada, May 18-21, 2003 : proceedings / Vipin Kumar ... [et al.]. 		Berlin ; New York : Springer, 2003. 	Science & Engineering Library: Books		QA75.5 .I12 2003	QA   755           I 12   2003			1
3598115342 	Parry, Robert B. 	World mapping today / R.B. Parry, C.R. Perkins ; graphic indexes prepared by Cartographic Unit, Department of Geography, University of Reading, UK. 	2nd ed. 	München : K.G. Saur, 2002. 	Special Collections, Floor 6: Map Rm (Non-circulating)		GA105.3 .P37 2002	GA  1053           P 37   2002			2
3764369086 (hardcover : alk. paper) 		Below ground level : creating new spaces for contemporary architecture / [edited by] Ernst von Meijenfeldt, Marit Geluk ; [English translation, Roz Vatter-Buck]. 		Basel ; Boston : Birkhäuser-Publishers for Architecture, 2003. 	Architecture & Fine Arts Library:  Books		NA2542.7 .B45 2003	NA 25427           B 45   2003			4
3764369442 (English-French edition : pbk.) 	International Architectural Exhibition (8th : 2002 : Venice, Italy) 	Décosterd & Rahm : physiological architecture : published for the exhibition at Swiss Pavilion as part of the 8th International Architecture Exhibition at Venice 2002 / issued by the Swiss Federal Office for Culture ; [edited by Décosterd & Rahm] = Arch		Basel ; Boston : Birkhäuser, c2002. 	Architecture & Fine Arts Library:  Books		NA1353.D43 D43 2002	NA 1353            D 43   D 43   2002			3
3764369728 (softcover : alk. paper) 	Reichen, Bernard. 	Reichen & Robert / Bernard Reichen and Philippe Robert. 		Basel ; Boston : Birkhäuser, c2003. 	Architecture & Fine Arts Library:  Books		NA1053.R45 A4 2003	NA 1053            R 45   A 4   2003			4
3790815276 (pbk.) 	Monney, Paul-André. 	Mathematical theory of arguments for statistical evidence / Paul-André Monney. 		Heidelberg ; New York : Physica-Verlag, c2003. 	Science & Engineering Library: Books		QA273 .M66 2003	QA  273            M 66   2003			2
8279350225 (Norway : pbk.) 		Autopoietic organization theory : drawing on Niklas Luhmann's social systems perspective / Tore Bakken and Tor Hernes (eds.). 		Oslo, Norway : Abstrakt forlag ; Malmö, Sweden : Liber Ekonomi ; Herndon, VA, USA : Copenhagen Business School Press, c2003. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	HD31 .A825 2003	HD   31            A 825   2003			1
8408046861 	Aguinis, Marcos. 	Asalto al paraíso / Marcos Aguinis. 	1. ed. 	Barcelona : Planeta, 2002. 	Central Library, Floors 4 or 5: Books		PQ7798.1.G814 A83 2003	PQ 77981           G 814   A 83   2003			2
8424923553 	Jurado Morales, José. 	Trayectoria narrativa de Carmen Martín Gaite (1925-2000) / José Jurado Morales. 		Madrid : Editorial Gredos, 2003. 	Central Library, Floors 4 or 5: Books		PQ6623.A7657 Z744 2003	PQ 6623            A 7657   Z 744   2003			2
9122019928 (hd.bd.) 		Alcohol in postwar Europe : consumption, drinking patterns, consequences and policy responses in 15 European countries / editor: Thor Norström. 		Stockholm : Almqvist & Wiksell, 2002. 	Central Library, Floors 4 or 5: Books		HV5438 .A436 2002	HV 5438            A 436   2002			1
951390914X 		Eco-social approach in social work / Aila-Leena Matthies, Kati Närhi and Dave Ward (eds.). 		Jyväskylä : University of Jyväskylä, 2001 (2003 printing). 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	HV41 .E26 2001	HV   41            E 26   2001			2
9562581330 	Neruda, Pablo, 1904-1973. 	Veinte poemas de amor y una canción desesperada / Pablo Neruda. 		Bogota : Grupo Editorial Norma, 2002. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ8097.N4 V42 2002	PQ 8097            N 4   V 42   2002			3
9681105257 	Lavín, Mónica, 1955- 	Tonada de un viejo amor / Mónica Lavín. 	1. ed. 	México, D.F. : Plaza & Janes, 2002. 	Central Library, Floors 4 or 5: Books		PQ7298.22.A88 T66 2002	PQ 729822          A 88   T 66   2002			1
9681902475 	Fernández, Sergio E. 	Olvídame : novelas de amor para la monja portuguesa / Sergio Fernández. 	1. ed. en México. 	México, D.F. : Aguilar, Altea, Taurus, Alfaguara, 1995. 	Central Library, Floors 4 or 5: Books		PQ7297.F3575 O68 1995	PQ 7297            F 3575   O 68   1995			2
9681905091 (pbk.) 	Valenzuela, Luisa, 1938- 	Cuentos completos y uno más / Luisa Valenzuela. 	1. ed. 	México, D.F. : Alfaguara, 1999. 	Central Library, Floors 4 or 5: Books		PQ7798.32.A48 A15 1999	PQ 779832          A 48   A 15   1999			3
9681909526 : 	Valenzuela, Luisa, 1938- 	Travesía / Luisa Valenzuela. 	1. ed. 	México, D.F. : Alfaguara : Universidad del Claustro de Sor Juana, 2002. 	Central Library, Floors 4 or 5: Books	Bindery; due back August 30, 2003	PQ7798.32.A48 T73 2002	PQ 779832          A 48   T 73   2002			4
9683671284 	Galindo, Sergio. 	Juego de soledades / Sergio Galindo ; selección y prólogo Nedda G. de Anhalt ; epílogo Luis Arturo Ramos. 	1. ed. 	México, D.F. : Universidad Nacional Autónoma de México : Coordinación de Humanidades : Coordinación de Difusión Cultural, 1999. 	Central Library, Floors 4 or 5: Books		PQ7297.G23 A6 1999	PQ 7297            G 23   A 6   1999			1
	Antheil, George, 1900-1959. 	Ballet mécanique [sound recording] / George Antheil. 		[S.l.] : Naxos ; Franklin, Tenn. : Distributed by Naxos of America, p2001. 	Architecture & Fine Arts Library: Compact Discs		CD-S0341	CD-S0341			2
	Belaunzarán, José María de Jesús, 1772-1857. 	Breve discurso sobre los sucesos presentes : que en obsequio de la verdadera religion hace el minimo de los obispos de la iglesia mexicana / José Maria de Jesus Belaunzarán. 		México : Imprenta de Luis Abadiano y Valdes, 1847. 	Special Collections, Floor 6: (Non-circulating)		479	479			3
	Calleja del Rey, Félix María, Conde de Calderón, 1755?-1828. 	El virey de Nueva España, don Felix Maria Calleja, a sus bizarras tropas. 		Mexico : En la imprenta de D. Jose Maria de Benavente, 1814. 	Special Collections, Floor 6: (Non-circulating)		455	455			3
	Descartes, René, 1596-1650. 	Essential Descartes. Edited and with an introd. by Margaret D. Wilson. 		New York, New American Library [1969] 	Central Library, Floors 4 or 5: Books	Bindery; due back August 1, 2003	B1837 .W54	B 1837            W 54			4
	Racine, Jean, 1639-1699. 	Phaedra : [a verse translation of] Racine's Phèdre / Robert Lowell. 		London : Faber and Faber, 1963, c1961. 	Central Library, Floors 4 or 5: Books		PQ1898.A2 L6	PQ 1898            A 2   L 6			4
	Spyri, Johanna, 1827-1901. 	Rosenresli, Erzählungen für Kinder / Johanna Spyri ; mit Illustrationen von F.M. Kieselbach. 		Göttingen : W. Fischer, [195-?.] 	Central Library, Floors 4 or 5: Books		PZ33 .S69 1950z	PZ   33            S 69   1950 Z			2
0071376372 	Reteguiz, Jo-Ann. 	Physical diagnosis [electronic resource] : PreTest self-assessment and review / Jo-Ann Reteguiz, Beverly Cornel-Avendaño. 	4th ed. 	New York : McGraw-Hill, Medical Pub. Division, c2001. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=61179	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0071381120 (electronic bk.) 	Faerber, Esme. 	Fundamentals of the bond market [electronic resource] / Esmé Faerber. 		New York : McGraw-Hill, c2001. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=61189	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203005406 (electronic bk.) 	Collinson, Diané, 1930- 	Fifty Eastern thinkers [electronic resource] / Diané Collinson, Kathryn Plant, and Robert Wilkinson. 		London ; New York : Routledge, 2000. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=70337	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203159802 (electronic bk.) : 	Collinson, Diané, 1930- 	Thirty-five oriental philosophers [electronic resource] / Diané Collinson and Robert Wilkinson. 		London ; New York : Routledge, 1994. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=63219	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	4
0203170040 	Benson, Ciarán. 	Cultural psychology of self [electronic resource] : place, morality and art in human worlds / Ciarán Benson. 		London ; New York : Routledge, 2001. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=60850	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203170253 	Kütting, Gabriela, 1967- 	Environment, society and international relations [electronic resource] : towards more effective international environmental agreements / Gabriela Kütting. 		London ; New York : Routledge, 2000. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=60803	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203170989 	Brück, Joanna. 	Making places in the prehistoric world [electronic resource] : themes in settlement archaeology / Joanna Brück and Melissa Goodman. 		London : UCL Press, 1999. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=60748	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203171497 	Kukla, André, 1942- 	Social constructivism and the philosophy of science [electronic resource] / André Kukla. 		London ; New York : Routledge, 2000. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=60621	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203186176 	Kjellén, Urban, 1948- 	Prevention of accidents through experience feedback [electronic resource] / Urban Kjellén. 		London ; New York : Taylor & Francis, 2000. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=64107	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203211804 (electronic bk.) 	Paulet, Elisabeth, 1962- 	Role of banks in monitoring firms [electronic resource] : the case of the Crédit Mobilier / Elisabeth Paulet. 		London ; New York : Routledge, 1999. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=70431	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203254449 (electronic bk.) 	Tännsjö, Torbjörn, 1946- 	Coercive care [electronic resource] : the ethics of choice in health and medicine / Torbjörn Tännsjö. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=70333	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203261070 (electronic bk.) 	Blühdorn, Ingolfur. 	Post-ecologist politics [electronic resource] : social theory and the abdication of the ecologist paradigm / Ingolfur Blühdorn. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=70365	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203265122 (electronic bk.) 	Fernández Jilberto, A. E. (Alex E.) 	Regionalization and globalization in the modern world economy [electronic resource] : perspectives on the third world and transitional economies / Alex E. Fernández Jilberto and André Mommen. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=68082	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203266307 	Almodovar, António. 	History of Portuguese economic thought [electronic resource] / António Almodovar and José Luís Cardoso. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=70402	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	2
0203268237 (electronic bk.) 		Rethinking geopolitics [electronic resource] / edited by Gearóid Ó Tuathail and Simon Dalby. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=68270	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203284194 (electronic bk.) 		Business of Japanese foreign aid [electronic resource] : five case studies from Asia / edited by Marie Söderberg. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=68931	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203294688 		Politics of Jean-François Lyotard [electronic resource] / edited by Chris Rojek and Bryan S. Turner. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=68083	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	2
0203298411 (electronic bk.) 	Cohen, Michèle, 1944- 	Fashioning masculinity [electronic resource] : national identity and language in the eighteenth century / Michèle Cohen. 		London ; New York : Routledge, 1996. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=71218	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203304438 (electronic bk.) 		Ethics and economic affairs [electronic resource] / edited by Alan Lewis and Karl-Erik Wärneryd. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=68300	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
0203309812 (electronic bk.) 	White, Brian, 1947- 	Britain, détente, and changing East-West relations [electronic resource] / Brian White. 	Taylor & Francis e-Library ed. 	London ; New York : Routledge, 2002. 	Internet Electronic Resource		Web Access	WEB ACCESS	http://continuum.uta.edu:2048/login?url=http://www.netLibrary.com/urlapi.asp?action=summary&v=1&bookid=68019	In netLibrary Collection <img src="http://pulse.uta.edu/images/offcampPulse.gif" border="0" width="115" height="17" />	3
